0,A,0,0,160
1,A,160,128,160
2,A,320,256,249
3,A,569,384,188
4,A,757,512,204
5,A,961,640,197
6,A,1158,768,196
7,A,1354,896,176
8,A,1530,1024,183
9,A,1713,1152,185
10,A,1898,1280,179
11,A,2077,1408,168
12,A,2245,1536,177
13,A,2422,1664,186
14,A,2608,1792,177
15,A,2785,1920,157
16,A,2942,2048,151
17,A,3093,2176,155
18,A,3248,2304,148
19,A,3396,2432,159
20,A,3555,2560,151
21,A,3706,2688,165
22,A,3871,2816,166
23,A,4037,2944,164
24,A,4201,3072,157
25,A,4358,3200,157
26,A,4515,3328,146
27,A,4661,3456,143
28,A,4804,3584,144
29,A,4948,3712,155
30,A,5103,3840,160
31,A,5263,3968,142
32,A,5405,4096,144
33,A,5549,4224,161
34,A,5710,4352,157
35,A,5867,4480,147
36,A,6014,4608,144
37,A,6158,4736,155
38,A,6313,4864,151
39,A,6464,4992,138
40,A,6602,5120,156
41,A,6758,5248,159
42,A,6917,5376,136
43,A,7053,5504,139
44,A,7192,5632,171
45,A,7363,5760,157
46,A,7520,5888,150
47,A,7670,6016,148
48,A,7818,6144,144
49,A,7962,6272,167
50,A,8129,6400,176
51,A,8305,6528,176
52,A,8481,6656,15
53,A,8496,6784,145
54,A,8641,6912,174
55,A,8815,7040,157
56,A,8972,7168,219
57,A,9191,7296,184
58,A,9375,7424,198
59,A,9573,7552,260
60,A,9833,7680,150
61,A,9983,7808,160
62,A,10143,7936,156
63,A,10299,8064,173
64,A,10472,8192,165
65,A,10637,8320,192
66,A,10829,8448,192
67,A,11021,8576,161
68,A,11182,8704,161
69,A,11343,8832,157
70,A,11500,8960,162
71,A,11662,9088,167
72,A,11829,9216,140
73,A,11969,9344,147
74,A,12116,9472,148
75,A,12264,9600,165
76,A,12429,9728,179
77,A,12608,9856,202
78,A,12810,9984,140
79,A,12950,10112,152
80,A,13102,10240,175
81,A,13277,10368,158
82,A,13435,10496,156
83,A,13591,10624,166
84,A,13757,10752,168
85,A,13925,10880,145
86,A,14070,11008,157
87,A,14227,11136,162
88,A,14389,11264,192
89,A,14581,11392,125
90,A,14706,11520,144
91,A,14850,11648,138
92,A,14988,11776,153
93,A,15141,11904,151
94,A,15292,12032,141
95,A,15433,12160,154
96,A,15587,12288,178
97,A,15765,12416,145
98,A,15910,12544,152
99,A,16062,12672,197
100,A,16259,12800,146
101,A,16405,12928,163
102,A,16568,13056,136
103,A,16704,13184,162
104,A,16866,13312,178
105,A,17044,13440,154
106,A,17198,13568,146
107,A,17344,13696,153
108,A,17497,13824,180
109,A,17677,13952,171
110,A,17848,14080,210
111,A,18058,14208,155
112,A,18213,14336,147
113,A,18360,14464,144
114,A,18504,14592,199
115,A,18703,14720,176
116,A,18879,14848,189
117,A,19068,14976,168
118,A,19236,15104,159
119,A,19395,15232,154
120,A,19549,15360,165
121,A,19714,15488,180
122,A,19894,15616,166
123,A,20060,15744,166
124,A,20226,15872,150
125,A,20376,16000,161
126,A,20537,16128,158
127,A,20695,16256,162
128,A,20857,16384,188
129,A,21045,16512,159
130,A,21204,16640,176
131,A,21380,16768,169
132,A,21549,16896,171
133,A,21720,17024,132
134,A,21852,17152,151
135,A,22003,17280,137
136,A,22140,17408,156
137,A,22296,17536,137
138,A,22433,17664,150
139,A,22583,17792,145
140,A,22728,17920,136
141,A,22864,18048,151
142,A,23015,18176,145
143,A,23160,18304,179
144,A,23339,18432,144
145,A,23483,18560,197
146,A,23680,18688,154
147,A,23834,18816,160
148,A,23994,18944,147
149,A,24141,19072,182
150,A,24323,19200,158
151,A,24481,19328,184
152,A,24665,19456,164
153,A,24829,19584,157
154,A,24986,19712,152
155,A,25138,19840,138
156,A,25276,19968,150
157,A,25426,20096,135
158,A,25561,20224,148
159,A,25709,20352,157
160,A,25866,20480,172
161,A,26038,20608,165
162,A,26203,20736,150
163,A,26353,20864,152
164,A,26505,20992,140
165,A,26645,21120,159
166,A,26804,21248,164
167,A,26968,21376,153
168,A,27121,21504,158
169,A,27279,21632,154
170,A,27433,21760,141
171,A,27574,21888,161
172,A,27735,22016,144
173,A,27879,22144,166
174,A,28045,22272,149
175,A,28194,22400,171
176,A,28365,22528,162
177,A,28527,22656,164
178,A,28691,22784,143
179,A,28834,22912,138
180,A,28972,23040,151
181,A,29123,23168,163
182,A,29286,23296,159
183,A,29445,23424,178
184,A,29623,23552,143
185,A,29766,23680,147
186,A,29913,23808,151
187,A,30064,23936,138
188,A,30202,24064,148
189,A,30350,24192,145
190,A,30495,24320,161
191,A,30656,24448,158
192,A,30814,24576,164
193,A,30978,24704,174
194,A,31152,24832,221
195,A,31373,24960,173
196,A,31546,25088,181
197,A,31727,25216,187
198,A,31914,25344,164
199,A,32078,25472,156
200,A,32234,25600,153
201,A,32387,25728,158
202,A,32545,25856,171
203,A,32716,25984,157
204,A,32873,26112,150
205,A,33023,26240,174
206,A,33197,26368,178
207,A,33375,26496,199
