0,I,0,0,3261
1,P,3261,40,416
2,P,3677,80,754
3,P,4431,120,878
4,P,5309,160,668
5,P,5977,200,989
6,P,6966,240,665
7,P,7631,280,844
8,P,8475,320,566
9,P,9041,360,732
10,P,9773,400,285
11,P,10058,440,431
12,P,10489,480,673
13,P,11162,520,537
14,P,11699,560,499
15,P,12198,600,759
16,P,12957,640,593
17,P,13550,680,537
18,P,14087,720,1082
19,P,15169,760,544
20,P,15713,800,622
21,P,16335,840,774
22,P,17109,880,489
23,P,17598,920,387
24,P,17985,960,560
25,P,18545,1000,531
26,P,19076,1040,669
27,P,19745,1080,538
28,P,20283,1120,714
29,P,20997,1160,569
30,P,21566,1200,831
31,P,22397,1240,830
32,P,23227,1280,597
33,P,23824,1320,492
34,P,24316,1360,643
35,P,24959,1400,443
36,P,25402,1440,508
37,P,25910,1480,738
38,P,26648,1520,377
39,P,27025,1560,387
40,P,27412,1600,1781
41,P,29193,1640,1107
42,P,30300,1680,800
43,P,31100,1720,822
44,P,31922,1760,999
45,P,32921,1800,607
46,P,33528,1840,282
47,P,33810,1880,332
48,P,34142,1920,278
49,P,34420,1960,272
50,I,34692,2000,2783
51,P,37475,2040,454
52,P,37929,2080,619
53,P,38548,2120,1155
54,P,39703,2160,663
55,P,40366,2200,750
56,P,41116,2240,1416
57,P,42532,2280,79
58,P,42611,2320,67
59,P,42678,2360,63
60,P,42741,2400,92
61,P,42833,2440,335
62,P,43168,2480,402
63,P,43570,2520,451
64,P,44021,2560,648
65,P,44669,2600,276
66,P,44945,2640,413
67,P,45358,2680,694
68,P,46052,2720,1062
69,P,47114,2760,822
70,P,47936,2800,980
71,P,48916,2840,668
72,P,49584,2880,632
73,P,50216,2920,376
74,P,50592,2960,265
75,P,50857,3000,324
76,P,51181,3040,529
77,P,51710,3080,496
78,P,52206,3120,524
79,P,52730,3160,561
80,P,53291,3200,785
81,P,54076,3240,558
82,P,54634,3280,678
83,P,55312,3320,871
84,P,56183,3360,543
85,P,56726,3400,555
86,P,57281,3440,635
87,P,57916,3480,254
88,P,58170,3520,233
89,P,58403,3560,503
90,P,58906,3600,527
91,P,59433,3640,744
92,P,60177,3680,609
93,P,60786,3720,2286
94,P,63072,3760,402
95,P,63474,3800,262
96,P,63736,3840,270
97,P,64006,3880,337
98,P,64343,3920,419
99,P,64762,3960,420
100,I,65182,4000,2898
101,P,68080,4040,425
102,P,68505,4080,886
103,P,69391,4120,509
104,P,69900,4160,498
105,P,70398,4200,726
106,P,71124,4240,219
107,P,71343,4280,161
108,P,71504,4320,360
109,P,71864,4360,578
110,P,72442,4400,422
111,P,72864,4440,683
112,P,73547,4480,501
113,P,74048,4520,543
114,P,74591,4560,469
115,P,75060,4600,672
116,P,75732,4640,449
117,P,76181,4680,627
118,P,76808,4720,486
119,P,77294,4760,282
120,P,77576,4800,393
121,P,77969,4840,633
122,P,78602,4880,387
123,P,78989,4920,407
124,P,79396,4960,613
125,P,80009,5000,398
126,P,80407,5040,394
127,P,80801,5080,503
128,P,81304,5120,393
129,P,81697,5160,504
130,P,82201,5200,708
131,P,82909,5240,959
132,P,83868,5280,565
133,P,84433,5320,309
134,P,84742,5360,494
135,P,85236,5400,345
136,P,85581,5440,387
137,P,85968,5480,504
138,P,86472,5520,487
139,P,86959,5560,615
140,P,87574,5600,893
141,P,88467,5640,605
142,P,89072,5680,480
143,P,89552,5720,776
144,P,90328,5760,264
145,P,90592,5800,292
146,P,90884,5840,449
147,P,91333,5880,462
148,P,91795,5920,468
149,P,92263,5960,76
150,I,92339,6000,1064
151,P,93403,6040,76
152,P,93479,6080,65
153,P,93544,6120,53
154,P,93597,6160,82
155,P,93679,6200,54
156,P,93733,6240,54
157,P,93787,6280,65
158,P,93852,6320,65
159,P,93917,6360,60
160,P,93977,6400,73
161,P,94050,6440,929
162,P,94979,6480,801
163,P,95780,6520,857
164,P,96637,6560,754
165,P,97391,6600,827
166,P,98218,6640,555
167,P,98773,6680,788
168,P,99561,6720,752
169,P,100313,6760,511
170,P,100824,6800,678
171,P,101502,6840,759
172,P,102261,6880,494
173,P,102755,6920,670
174,P,103425,6960,797
175,P,104222,7000,427
176,P,104649,7040,712
177,P,105361,7080,885
178,P,106246,7120,534
179,P,106780,7160,757
180,P,107537,7200,1045
181,P,108582,7240,454
182,P,109036,7280,775
183,P,109811,7320,891
184,P,110702,7360,534
185,P,111236,7400,704
186,P,111940,7440,740
187,P,112680,7480,340
188,P,113020,7520,649
189,P,113669,7560,809
190,P,114478,7600,363
191,P,114841,7640,747
192,P,115588,7680,904
193,P,116492,7720,377
194,P,116869,7760,693
195,P,117562,7800,716
196,P,118278,7840,473
197,P,118751,7880,306
198,P,119057,7920,348
199,P,119405,7960,249
200,I,119654,8000,2752
201,P,122406,8040,2770
202,P,125176,8080,428
203,P,125604,8120,478
204,P,126082,8160,323
205,P,126405,8200,516
206,P,126921,8240,212
207,P,127133,8280,300
208,P,127433,8320,451
209,P,127884,8360,103
210,P,127987,8400,236
211,P,128223,8440,396
212,P,128619,8480,203
213,P,128822,8520,421
214,P,129243,8560,632
215,P,129875,8600,438
216,P,130313,8640,480
217,P,130793,8680,533
218,P,131326,8720,250
219,P,131576,8760,278
220,P,131854,8800,369
221,P,132223,8840,234
222,P,132457,8880,3135
223,P,135592,8920,441
224,P,136033,8960,487
225,P,136520,9000,477
226,P,136997,9040,551
227,P,137548,9080,485
228,P,138033,9120,539
229,P,138572,9160,546
230,P,139118,9200,519
231,P,139637,9240,527
232,P,140164,9280,598
233,P,140762,9320,552
234,P,141314,9360,577
235,P,141891,9400,591
236,P,142482,9440,518
237,P,143000,9480,622
238,P,143622,9520,612
239,P,144234,9560,609
240,P,144843,9600,518
241,P,145361,9640,586
242,P,145947,9680,594
243,P,146541,9720,503
244,P,147044,9760,539
245,P,147583,9800,513
246,P,148096,9840,429
247,P,148525,9880,466
248,P,148991,9920,412
249,P,149403,9960,286
250,I,149689,10000,2444
251,P,152133,10040,2095
252,P,154228,10080,498
253,P,154726,10120,716
254,P,155442,10160,799
255,P,156241,10200,519
256,P,156760,10240,646
257,P,157406,10280,698
258,P,158104,10320,548
259,P,158652,10360,674
260,P,159326,10400,718
261,P,160044,10440,567
262,P,160611,10480,678
263,P,161289,10520,677
264,P,161966,10560,550
265,P,162516,10600,644
266,P,163160,10640,818
